Experiment	bias spectroscopy	
Date	24.03.2019 01:28:40	
User		
X (m)	182.881E-9	
Y (m)	184.967E-9	
Z (m)	-103.416E-9	
Z offset (m)	0E+0	
Settling time (s)	10E-3	
Integration time (s)	20E-3	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Filter type	Gaussian	
Order	1	
Cutoff frq		
Bias>Bias (V)	1.5E+0	
Bias>Calibration (V/V)	-1E+0	
Bias>Offset (V)	0E+0	
Bias Spectroscopy>Sweep Start (V)	1.5E+0	
Bias Spectroscopy>Sweep End (V)	-1.5E+0	
Bias Spectroscopy>Num Pixel	200	
Bias Spectroscopy>Z Avg time (s)	50E-3	
Bias Spectroscopy>Z offset (m)	0E+0	
Bias Spectroscopy>1st Settling time (s)	200E-3	
Bias Spectroscopy>Settling time (s)	10E-3	
Bias Spectroscopy>Integration time (s)	20E-3	
Bias Spectroscopy>End Settling time (s)	5E-3	
Bias Spectroscopy>Z control time (s)	10E-3	
Bias Spectroscopy>Max Slew rate (V/s)	4E+0	
Bias Spectroscopy>backward sweep	TRUE	
Bias Spectroscopy>Z-controller hold	TRUE	
Bias Spectroscopy>Number of sweeps	5	
Bias Spectroscopy>Channels	Current (A);Bias (V);LIX 1 omega (A);LIY 1 omega (A)	
Bias Spectroscopy>Reset Bias	TRUE	
Bias Spectroscopy>Record final Z	FALSE	
Bias Spectroscopy>Lock-In run	TRUE	
Bias Spectroscopy>Sweep mode	Linear	
Bias Spectroscopy>MultiLine Settings : Segment Start (V), Segment End (V), Settling (s), Integration (s), Steps (xn)	-1E+0,1E+0,83.3333E-6,83.3333E-6,256	
Current>Current (A)	475.203E-12	
Current>Calibration (A/V)	5E-9	
Current>Offset (A)	3.65932E-12	
Current>Gain	Low	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	700E+0	
Lock-in>Amplitude	10E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>Harmonic	2	
Lock-in>Reference phase (deg)	153.565E+0	

[DATA]
Bias calc (V)	Current (A)	Bias (V)	LIX 1 omega (A)	LIY 1 omega (A)	Current [bwd] (A)	Bias [bwd] (V)	LIX 1 omega [bwd] (A)	LIY 1 omega [bwd] (A)	Current (A) [filt]	Bias (V) [filt]	LIX 1 omega (A) [filt]	LIY 1 omega (A) [filt]	Current (A) [bwd] [filt]	Bias (V) [bwd] [filt]	LIX 1 omega (A) [bwd] [filt]	LIY 1 omega (A) [bwd] [filt]
1.50000E+0	498.095E-12	1.50000E+0	6.43383E-12	14.3316E-12	402.491E-12	1.50000E+0	6.23181E-12	10.2211E-12	498.095E-12	1.50000E+0	6.43383E-12	14.3316E-12	402.491E-12	1.50000E+0	6.23181E-12	10.2211E-12
1.48492E+0	470.038E-12	1.48492E+0	5.33351E-12	13.7656E-12	382.649E-12	1.48492E+0	5.24061E-12	10.2246E-12	472.442E-12	1.48492E+0	6.11979E-12	13.7918E-12	384.547E-12	1.48492E+0	5.46927E-12	9.91518E-12
1.46985E+0	453.324E-12	1.46985E+0	7.94309E-12	13.3230E-12	371.763E-12	1.46985E+0	5.32829E-12	8.76818E-12	451.010E-12	1.46985E+0	6.89769E-12	13.1866E-12	369.967E-12	1.46985E+0	5.27940E-12	8.98411E-12
1.45477E+0	425.690E-12	1.45477E+0	5.62018E-12	12.2366E-12	352.401E-12	1.45477E+0	5.18528E-12	8.33057E-12	428.914E-12	1.45477E+0	6.14594E-12	12.2124E-12	353.053E-12	1.45477E+0	5.39910E-12	8.49964E-12
1.43970E+0	413.265E-12	1.43970E+0	5.77797E-12	11.0362E-12	336.116E-12	1.43970E+0	6.05114E-12	8.69070E-12	411.186E-12	1.43970E+0	5.85146E-12	11.0310E-12	336.661E-12	1.43970E+0	5.79662E-12	8.58981E-12
1.42462E+0	391.029E-12	1.42462E+0	6.28249E-12	9.81114E-12	322.402E-12	1.42462E+0	5.71611E-12	8.57480E-12	392.637E-12	1.42462E+0	6.02506E-12	10.5503E-12	321.956E-12	1.42462E+0	5.52664E-12	8.49451E-12
1.40955E+0	376.381E-12	1.40955E+0	5.57236E-12	12.0734E-12	306.585E-12	1.40955E+0	4.48711E-12	8.08005E-12	377.079E-12	1.40955E+0	5.92462E-12	11.3207E-12	307.060E-12	1.40955E+0	5.04431E-12	8.07639E-12
1.39447E+0	365.026E-12	1.39447E+0	6.52430E-12	10.7841E-12	293.009E-12	1.39447E+0	5.88715E-12	7.56801E-12	363.749E-12	1.39447E+0	6.12459E-12	10.9208E-12	293.160E-12	1.39447E+0	5.61090E-12	7.63463E-12
1.37940E+0	347.645E-12	1.37940E+0	5.59030E-12	10.1396E-12	280.146E-12	1.37940E+0	5.98377E-12	7.37028E-12	347.683E-12	1.37940E+0	5.77710E-12	10.3910E-12	280.774E-12	1.37940E+0	5.99133E-12	7.36666E-12
1.36432E+0	330.443E-12	1.36432E+0	5.53766E-12	10.6810E-12	270.243E-12	1.36432E+0	6.11607E-12	7.15545E-12	329.577E-12	1.36432E+0	5.58387E-12	10.1153E-12	269.755E-12	1.36432E+0	6.01742E-12	7.25722E-12
1.34925E+0	309.156E-12	1.34925E+0	5.70305E-12	8.55347E-12	258.038E-12	1.34925E+0	5.78291E-12	7.42081E-12	311.147E-12	1.34925E+0	5.62569E-12	8.93399E-12	258.583E-12	1.34925E+0	5.76312E-12	7.14728E-12
1.33417E+0	297.262E-12	1.33417E+0	5.50343E-12	8.22134E-12	248.402E-12	1.33417E+0	5.35637E-12	6.39558E-12	296.640E-12	1.33417E+0	5.69397E-12	8.39348E-12	248.061E-12	1.33417E+0	5.41708E-12	6.75734E-12
1.31910E+0	282.432E-12	1.31910E+0	6.20283E-12	8.70140E-12	237.155E-12	1.31910E+0	5.21628E-12	7.07723E-12	284.034E-12	1.31910E+0	6.01825E-12	8.40213E-12	237.081E-12	1.31910E+0	5.48540E-12	6.92847E-12
1.30402E+0	275.160E-12	1.30402E+0	6.03134E-12	7.76942E-12	225.558E-12	1.30402E+0	6.34598E-12	7.05696E-12	272.800E-12	1.30402E+0	5.90148E-12	7.83903E-12	225.493E-12	1.30402E+0	6.06590E-12	6.76071E-12
1.28894E+0	256.750E-12	1.28894E+0	5.24714E-12	7.16591E-12	213.652E-12	1.28894E+0	6.15421E-12	5.63891E-12	258.583E-12	1.28894E+0	5.54977E-12	7.17660E-12	213.442E-12	1.28894E+0	6.07979E-12	6.05316E-12
1.27387E+0	246.990E-12	1.27387E+0	5.89083E-12	6.61284E-12	200.756E-12	1.27387E+0	5.61132E-12	6.17541E-12	246.845E-12	1.27387E+0	5.60979E-12	6.85096E-12	202.372E-12	1.27387E+0	5.73569E-12	5.80971E-12
1.25879E+0	236.547E-12	1.25879E+0	5.20850E-12	7.18329E-12	195.487E-12	1.25879E+0	5.65526E-12	4.98645E-12	236.374E-12	1.25879E+0	5.38786E-12	6.94978E-12	194.941E-12	1.25879E+0	5.60217E-12	5.26113E-12
1.24372E+0	225.289E-12	1.24372E+0	5.37246E-12	6.65195E-12	187.642E-12	1.24372E+0	5.44872E-12	5.09351E-12	225.030E-12	1.24372E+0	5.37801E-12	6.70840E-12	187.592E-12	1.24372E+0	5.48203E-12	5.16759E-12
1.22864E+0	212.809E-12	1.22864E+0	5.56259E-12	6.38696E-12	179.560E-12	1.22864E+0	5.39936E-12	5.55012E-12	213.396E-12	1.22864E+0	5.52902E-12	6.41687E-12	178.954E-12	1.22864E+0	5.35697E-12	5.39074E-12
1.21357E+0	203.102E-12	1.21357E+0	5.59432E-12	6.26306E-12	168.618E-12	1.21357E+0	5.15002E-12	5.25473E-12	202.868E-12	1.21357E+0	5.68108E-12	6.11624E-12	169.720E-12	1.21357E+0	5.22811E-12	5.23492E-12
1.19849E+0	192.290E-12	1.19849E+0	6.03540E-12	5.44643E-12	162.878E-12	1.19849E+0	5.26913E-12	4.86588E-12	193.648E-12	1.19849E+0	5.91870E-12	5.62391E-12	162.538E-12	1.19849E+0	5.24180E-12	4.92406E-12
1.18342E+0	187.883E-12	1.18342E+0	5.92587E-12	5.46717E-12	155.532E-12	1.18342E+0	5.25929E-12	4.75156E-12	186.649E-12	1.18342E+0	5.82426E-12	5.33711E-12	155.157E-12	1.18342E+0	5.32088E-12	4.64419E-12
1.16834E+0	177.653E-12	1.16834E+0	5.33689E-12	4.87426E-12	146.417E-12	1.16834E+0	5.54005E-12	4.13063E-12	177.739E-12	1.16834E+0	5.46307E-12	5.05059E-12	146.683E-12	1.16834E+0	5.29711E-12	4.27937E-12
1.15327E+0	167.828E-12	1.15327E+0	5.34324E-12	5.11333E-12	138.558E-12	1.15327E+0	4.67455E-12	4.21149E-12	167.700E-12	1.15327E+0	5.26208E-12	4.95298E-12	138.875E-12	1.15327E+0	4.90770E-12	4.08750E-12
1.13819E+0	157.400E-12	1.13819E+0	4.96664E-12	4.59582E-12	132.196E-12	1.13819E+0	4.90913E-12	3.70733E-12	158.103E-12	1.13819E+0	5.13891E-12	4.70605E-12	132.258E-12	1.13819E+0	4.92570E-12	3.83399E-12
1.12312E+0	150.289E-12	1.12312E+0	5.40285E-12	4.59842E-12	126.123E-12	1.12312E+0	5.22189E-12	3.80076E-12	150.190E-12	1.12312E+0	5.27363E-12	4.50696E-12	126.013E-12	1.12312E+0	5.23511E-12	3.77116E-12
1.10804E+0	142.708E-12	1.10804E+0	5.22935E-12	4.16949E-12	119.531E-12	1.10804E+0	5.59703E-12	3.75450E-12	142.467E-12	1.10804E+0	5.27616E-12	4.12883E-12	119.549E-12	1.10804E+0	5.46479E-12	3.69265E-12
1.09296E+0	133.986E-12	1.09296E+0	5.27671E-12	3.54873E-12	113.025E-12	1.09296E+0	5.34819E-12	3.41644E-12	134.639E-12	1.09296E+0	5.27987E-12	3.68167E-12	113.369E-12	1.09296E+0	5.37960E-12	3.47931E-12
1.07789E+0	128.341E-12	1.07789E+0	5.33900E-12	3.55520E-12	108.144E-12	1.07789E+0	5.24754E-12	3.37504E-12	128.068E-12	1.07789E+0	5.34246E-12	3.54798E-12	108.016E-12	1.07789E+0	5.26909E-12	3.33764E-12
1.06281E+0	121.408E-12	1.06281E+0	5.41761E-12	3.52758E-12	102.658E-12	1.06281E+0	5.24856E-12	3.15721E-12	121.789E-12	1.06281E+0	5.37759E-12	3.55594E-12	102.703E-12	1.06281E+0	5.26656E-12	3.15438E-12
1.04774E+0	116.272E-12	1.04774E+0	5.30739E-12	3.63378E-12	97.3855E-12	1.04774E+0	5.33450E-12	2.92605E-12	115.589E-12	1.04774E+0	5.24274E-12	3.54754E-12	97.6297E-12	1.04774E+0	5.31071E-12	2.94058E-12
