Experiment	Z spectroscopy	
Date	23.03.2019 22:37:43	
User		
X (m)	187.909E-9	
Y (m)	176.967E-9	
Z (m)	-140.219E-9	
Z offset (m)	0E+0	
Z sweep distance (m)	-250E-12	
Settling time (s)	5E-3	
Integration time (s)	10E-3	
Final Z (m)	N/A	
Filter type	None	
Order		
Cutoff frq		
Bias>Bias (V)	1.5E+0	
Bias>Calibration (V/V)	-1E+0	
Bias>Offset (V)	0E+0	
Current>Current (A)	53.5586E-12	
Current>Calibration (A/V)	333E-12	
Current>Offset (A)	304.662E-15	
Current>Gain	High	
Lock-in>Lock-in status	OFF	
Lock-in>Modulated signal	Bias (V)	
Lock-in>Frequency (Hz)	700E+0	
Lock-in>Amplitude	10E-3	
Lock-in>Demodulated signal	Current (A)	
Lock-in>Harmonic	2	
Lock-in>Reference phase (deg)	153.565E+0	
NanonisMain>Session Path	C:\Users\Public\Ishigami Group Google Drive\Mike\STM Data\2019\2019-03-23	
NanonisMain>SW Version	Generic 4	
NanonisMain>UI Release	8181	
NanonisMain>RT Release	7685	
NanonisMain>RT Frequency (Hz)	12E+3	
NanonisMain>Signals Oversampling	10	
NanonisMain>Animations Period (s)	20E-3	
NanonisMain>Indicators Period (s)	300E-3	
NanonisMain>Measurements Period (s)	500E-3	
Z Spectroscopy>Initial Z-offset (m)	0E+0	
Z Spectroscopy>Sweep distance (m)	250E-12	
Z Spectroscopy>Num Pixel	128	
Z Spectroscopy>Z Avg time (s)	50E-3	
Z Spectroscopy>1st Settling time (s)	5E-3	
Z Spectroscopy>Settling time (s)	5E-3	
Z Spectroscopy>Integration time (s)	10E-3	
Z Spectroscopy>End Settling time (s)	5E-3	
Z Spectroscopy>Z control time (s)	200E-3	
Z Spectroscopy>Max Slew rate (V/s)	10E-9	
Z Spectroscopy>backward sweep	FALSE	
Z Spectroscopy>Number of sweeps	5	
Z Spectroscopy>Channels	Current (A);LIX 1 omega (A);LIY 1 omega (A)	
Z Spectroscopy>Time between fwd/bwd (s)	0E+0	
Z Spectroscopy>Record final Z	FALSE	
Z Spectroscopy>Lock-In run	TRUE	

[DATA]
Z rel (m)	Current (A)	LIX 1 omega (A)	LIY 1 omega (A)
0.00000E+0	108.328E-12	1.24526E-12	-6.67856E-12
1.96850E-12	96.8943E-12	922.129E-15	-6.76399E-12
3.93701E-12	94.4715E-12	1.11735E-12	-6.70497E-12
5.90551E-12	89.9541E-12	842.627E-15	-6.55948E-12
7.87402E-12	89.5522E-12	759.969E-15	-6.61081E-12
9.84252E-12	81.8831E-12	220.966E-15	-6.94087E-12
11.8110E-12	78.0896E-12	929.276E-15	-6.59718E-12
13.7795E-12	73.1805E-12	926.074E-15	-6.58231E-12
15.7480E-12	76.1612E-12	1.21962E-12	-6.56945E-12
17.7165E-12	72.5114E-12	417.667E-15	-6.71954E-12
19.6850E-12	64.5059E-12	904.149E-15	-6.51439E-12
21.6535E-12	62.7493E-12	288.718E-15	-6.74920E-12
23.6220E-12	58.9388E-12	893.695E-15	-6.49561E-12
25.5906E-12	60.2471E-12	560.262E-15	-6.64901E-12
27.5591E-12	49.8470E-12	167.250E-15	-6.65677E-12
29.5276E-12	54.4421E-12	553.507E-15	-6.47425E-12
31.4961E-12	49.4048E-12	451.407E-15	-6.62624E-12
33.4646E-12	48.9172E-12	631.968E-15	-6.79645E-12
35.4331E-12	42.3246E-12	114.743E-15	-6.93212E-12
37.4016E-12	40.7709E-12	514.619E-15	-6.59750E-12
39.3701E-12	43.1271E-12	382.296E-15	-6.65945E-12
41.3386E-12	38.8251E-12	409.996E-15	-6.66828E-12
43.3071E-12	38.4756E-12	409.327E-15	-6.62652E-12
45.2756E-12	34.7908E-12	312.439E-15	-6.64828E-12
47.2441E-12	35.2947E-12	270.466E-15	-6.61661E-12
49.2126E-12	32.7068E-12	318.230E-15	-6.60568E-12
51.1811E-12	32.6992E-12	314.733E-15	-6.68041E-12
53.1496E-12	30.9702E-12	188.909E-15	-6.75871E-12
55.1181E-12	30.6453E-12	367.804E-15	-6.47443E-12
57.0866E-12	29.3049E-12	222.722E-15	-6.70743E-12
59.0551E-12	27.6907E-12	432.923E-15	-6.57989E-12
61.0236E-12	26.4702E-12	253.958E-15	-6.70613E-12
62.9921E-12	25.4126E-12	177.525E-15	-6.56979E-12
64.9606E-12	26.9018E-12	421.768E-15	-6.55239E-12
66.9291E-12	24.2968E-12	175.407E-15	-6.63479E-12
68.8976E-12	23.1022E-12	164.718E-15	-6.61924E-12
70.8661E-12	22.5253E-12	311.092E-15	-6.63729E-12
72.8346E-12	22.7101E-12	279.360E-15	-6.68464E-12
74.8031E-12	23.2722E-12	223.906E-15	-6.63194E-12
76.7717E-12	21.5214E-12	255.751E-15	-6.55990E-12
78.7402E-12	21.0641E-12	158.737E-15	-6.60424E-12
80.7087E-12	20.7009E-12	212.376E-15	-6.63041E-12
82.6772E-12	19.4269E-12	89.3286E-15	-6.68962E-12
84.6457E-12	18.7506E-12	177.842E-15	-6.62938E-12
86.6142E-12	18.5176E-12	164.422E-15	-6.67413E-12
88.5827E-12	17.4980E-12	180.849E-15	-6.67068E-12
90.5512E-12	17.6015E-12	250.996E-15	-6.62999E-12
92.5197E-12	16.4629E-12	48.3680E-15	-6.64226E-12
94.4882E-12	16.2235E-12	164.012E-15	-6.62648E-12
96.4567E-12	15.7139E-12	85.8745E-15	-6.65718E-12
98.4252E-12	15.8167E-12	130.752E-15	-6.52211E-12
100.394E-12	14.9169E-12	176.975E-15	-6.59438E-12
102.362E-12	14.3994E-12	188.740E-15	-6.62222E-12
104.331E-12	13.8626E-12	169.361E-15	-6.62482E-12
106.299E-12	13.6027E-12	214.919E-15	-6.57829E-12
108.268E-12	12.9371E-12	161.423E-15	-6.56519E-12
110.236E-12	12.3150E-12	69.7555E-15	-6.69392E-12
112.205E-12	12.4932E-12	124.910E-15	-6.56484E-12
114.173E-12	11.3165E-12	140.896E-15	-6.61954E-12
116.142E-12	11.8033E-12	168.618E-15	-6.58141E-12
118.110E-12	10.9436E-12	138.405E-15	-6.56898E-12
120.079E-12	10.9086E-12	78.1434E-15	-6.57396E-12
122.047E-12	10.3189E-12	51.0639E-15	-6.57380E-12
124.016E-12	10.2028E-12	121.710E-15	-6.52861E-12
125.984E-12	10.0053E-12	38.7155E-15	-6.66752E-12
127.953E-12	9.47028E-12	106.773E-15	-6.59739E-12
129.921E-12	9.50807E-12	105.530E-15	-6.66793E-12
131.890E-12	8.69540E-12	68.9315E-15	-6.64147E-12
133.858E-12	8.59273E-12	100.018E-15	-6.59365E-12
135.827E-12	8.11180E-12	117.956E-15	-6.62182E-12
137.795E-12	8.52879E-12	116.452E-15	-6.56974E-12
139.764E-12	8.03189E-12	-35.5554E-15	-6.67233E-12
141.732E-12	7.97707E-12	107.588E-15	-6.64073E-12
143.701E-12	7.41089E-12	108.053E-15	-6.56620E-12
145.669E-12	7.16856E-12	91.2926E-15	-6.63239E-12
147.638E-12	7.40048E-12	68.6149E-15	-6.59083E-12
149.606E-12	6.70070E-12	104.001E-15	-6.61263E-12
151.575E-12	6.76311E-12	53.9624E-15	-6.65698E-12
153.543E-12	6.31810E-12	65.4753E-15	-6.63799E-12
155.512E-12	6.41453E-12	77.2456E-15	-6.60609E-12
157.480E-12	6.10032E-12	64.2303E-15	-6.61231E-12
159.449E-12	5.77039E-12	73.6494E-15	-6.62875E-12
161.417E-12	5.80525E-12	-12.6648E-15	-6.60845E-12
163.386E-12	5.46606E-12	16.8000E-15	-6.60253E-12
165.354E-12	5.49284E-12	52.5747E-15	-6.61789E-12
167.323E-12	5.16368E-12	81.3052E-15	-6.61315E-12
169.291E-12	4.92526E-12	65.1178E-15	-6.64793E-12
171.260E-12	4.77616E-12	11.9084E-15	-6.64708E-12
173.228E-12	4.72704E-12	62.9551E-15	-6.64217E-12
175.197E-12	4.58676E-12	55.2714E-15	-6.68889E-12
177.165E-12	4.35753E-12	-6.81876E-15	-6.62758E-12
179.134E-12	4.32483E-12	5.53938E-15	-6.64467E-12
181.102E-12	4.16547E-12	8.92011E-15	-6.64368E-12
183.071E-12	3.91422E-12	56.3696E-15	-6.57775E-12
